date,time_interval,quantity
2022-09-01,0,16
2022-09-01,1,5
2022-09-01,2,5
2022-09-01,3,7
2022-09-01,4,3
2022-09-01,5,9
2022-09-01,6,29
2022-09-01,7,99
2022-09-01,8,156
2022-09-01,9,241
2022-09-01,10,216
2022-09-01,11,270
2022-09-01,12,247
2022-09-01,13,117
2022-09-01,14,243
2022-09-01,15,202
2022-09-01,16,210
2022-09-01,17,222
2022-09-01,18,269
2022-09-01,19,189
2022-09-01,20,199
2022-09-01,21,136
2022-09-01,22,68
2022-09-01,23,36
2022-09-02,0,7
2022-09-02,1,7
2022-09-02,2,3
2022-09-02,3,2
2022-09-02,4,4
2022-09-02,5,13
2022-09-02,6,45
2022-09-02,7,100
2022-09-02,8,194
2022-09-02,9,283
2022-09-02,10,111
2022-09-02,11,285
2022-09-02,12,281
2022-09-02,13,201
2022-09-02,14,205
2022-09-02,15,232
2022-09-02,16,209
2022-09-02,17,193
2022-09-02,18,217
2022-09-02,19,236
2022-09-02,20,125
2022-09-02,21,117
2022-09-02,22,73
2022-09-02,23,32
2022-09-02,24,5
2022-09-03,0,4
2022-09-03,1,5
2022-09-03,2,2
2022-09-03,3,2
2022-09-03,4,5
2022-09-03,5,4
2022-09-03,6,20
2022-09-03,7,66
2022-09-03,8,150
2022-09-03,9,287
2022-09-03,10,256
2022-09-03,11,196
2022-09-03,12,229
2022-09-03,13,227
2022-09-03,14,217
2022-09-03,15,243
2022-09-03,16,201
2022-09-03,17,207
2022-09-03,18,191
2022-09-03,19,191
2022-09-03,20,169
2022-09-03,21,74
2022-09-03,22,40
2022-09-03,23,32
2022-09-03,24,2
2022-09-04,0,8
2022-09-04,1,5
2022-09-04,2,2
2022-09-04,3,1
2022-09-04,4,2
2022-09-04,5,2
2022-09-04,6,6
2022-09-04,7,58
2022-09-04,8,143
2022-09-04,9,275
2022-09-04,10,306
2022-09-04,11,219
2022-09-04,12,284
2022-09-04,13,155
2022-09-04,14,221
2022-09-04,15,224
2022-09-04,16,239
2022-09-04,17,243
2022-09-04,18,255
2022-09-04,19,183
2022-09-04,20,210
2022-09-04,21,117
2022-09-04,22,59
2022-09-04,23,31
2022-09-05,0,10
2022-09-05,1,2
2022-09-05,2,2
2022-09-05,4,5
2022-09-05,5,14
2022-09-05,6,28
2022-09-05,7,58
2022-09-05,8,126
2022-09-05,9,290
2022-09-05,10,301
2022-09-05,11,223
2022-09-05,12,283
2022-09-05,13,247
2022-09-05,14,238
2022-09-05,15,220
2022-09-05,16,216
2022-09-05,17,214
2022-09-05,18,298
2022-09-05,19,275
2022-09-05,20,193
2022-09-05,21,123
2022-09-05,22,81
2022-09-05,23,35
2022-09-05,24,6
2022-09-06,0,14
2022-09-06,1,6
2022-09-06,2,7
2022-09-06,3,2
2022-09-06,4,2
2022-09-06,5,2
2022-09-06,6,21
2022-09-06,7,63
2022-09-06,8,154
