date,time_interval,quantity
2022-09-01,0,16.0
2022-09-01,1,5.0
2022-09-01,2,5.0
2022-09-01,3,7.0
2022-09-01,4,3.0
2022-09-01,5,9.0
2022-09-01,6,29.0
2022-09-01,7,99.0
2022-09-01,8,156.0
2022-09-01,9,241.0
2022-09-01,10,216.0
2022-09-01,11,270.0
2022-09-01,12,247.0
2022-09-01,13,117.0
2022-09-01,14,243.0
2022-09-01,15,202.0
2022-09-01,16,210.0
2022-09-01,17,222.0
2022-09-01,18,269.0
2022-09-01,19,189.0
2022-09-01,20,199.0
2022-09-01,21,136.0
2022-09-01,22,68.0
2022-09-01,23,36.0
2022-09-02,0,7.0
2022-09-02,1,7.0
2022-09-02,2,3.0
2022-09-02,3,2.0
2022-09-02,4,4.0
2022-09-02,5,13.0
2022-09-02,6,45.0
2022-09-02,7,100.0
2022-09-02,8,194.0
2022-09-02,9,283.0
2022-09-02,10,111.0
2022-09-02,11,285.0
2022-09-02,12,281.0
2022-09-02,13,201.0
2022-09-02,14,205.0
2022-09-02,15,232.0
2022-09-02,16,209.0
2022-09-02,17,193.0
2022-09-02,18,217.0
2022-09-02,19,236.0
2022-09-02,20,125.0
2022-09-02,21,117.0
2022-09-02,22,73.0
2022-09-02,23,32.0
2022-09-02,24,5.0
2022-09-03,0,9.0
2022-09-03,1,5.0
2022-09-03,2,2.0
2022-09-03,3,2.0
2022-09-03,4,5.0
2022-09-03,5,4.0
2022-09-03,6,20.0
2022-09-03,7,66.0
2022-09-03,8,150.0
2022-09-03,9,287.0
2022-09-03,10,256.0
2022-09-03,11,196.0
2022-09-03,12,229.0
2022-09-03,13,227.0
2022-09-03,14,217.0
2022-09-03,15,243.0
2022-09-03,16,201.0
2022-09-03,17,207.0
2022-09-03,18,191.0
2022-09-03,19,191.0
2022-09-03,20,169.0
2022-09-03,21,74.0
2022-09-03,22,40.0
2022-09-03,23,32.0
2022-09-03,24,2.0
2022-09-04,0,10.0
2022-09-04,1,5.0
2022-09-04,2,2.0
2022-09-04,3,1.0
2022-09-04,4,2.0
2022-09-04,5,2.0
2022-09-04,6,6.0
2022-09-04,7,58.0
2022-09-04,8,143.0
2022-09-04,9,275.0
2022-09-04,10,306.0
2022-09-04,11,219.0
2022-09-04,12,284.0
2022-09-04,13,155.0
2022-09-04,14,221.0
2022-09-04,15,224.0
2022-09-04,16,239.0
2022-09-04,17,243.0
2022-09-04,18,255.0
2022-09-04,19,183.0
2022-09-04,20,210.0
2022-09-04,21,117.0
2022-09-04,22,59.0
2022-09-04,23,31.0
2022-09-05,0,10.0
2022-09-05,1,2.0
