,date,time_interval,quantity,year,month,day,weekday,week_of_year,quarter,day_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_weekend,is_friday,year_month
0,2022-09-01,0,16.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
1,2022-09-01,1,5.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
2,2022-09-01,2,5.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
3,2022-09-01,3,7.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
4,2022-09-01,4,3.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
5,2022-09-01,5,9.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
6,2022-09-01,6,29.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
7,2022-09-01,7,99.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
8,2022-09-01,8,156.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
9,2022-09-01,9,241.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
10,2022-09-01,10,216.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
11,2022-09-01,11,270.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
12,2022-09-01,12,247.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
13,2022-09-01,13,117.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
14,2022-09-01,14,243.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
15,2022-09-01,15,202.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
16,2022-09-01,16,210.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
17,2022-09-01,17,222.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
18,2022-09-01,18,269.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
19,2022-09-01,19,189.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
20,2022-09-01,20,199.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
21,2022-09-01,21,136.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
22,2022-09-01,22,68.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
23,2022-09-01,23,36.0,2022,9,1,3,35,3,244,1,0,0,0,0,0,0,0,202209
24,2022-09-02,0,7.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
25,2022-09-02,1,7.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
26,2022-09-02,2,3.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
27,2022-09-02,3,2.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
28,2022-09-02,4,4.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
29,2022-09-02,5,13.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
30,2022-09-02,6,45.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
31,2022-09-02,7,100.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
32,2022-09-02,8,194.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
33,2022-09-02,9,283.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
34,2022-09-02,10,111.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
35,2022-09-02,11,285.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
36,2022-09-02,12,281.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
37,2022-09-02,13,201.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
38,2022-09-02,14,205.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
39,2022-09-02,15,232.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
40,2022-09-02,16,209.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
41,2022-09-02,17,193.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
42,2022-09-02,18,217.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
43,2022-09-02,19,236.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
44,2022-09-02,20,125.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
45,2022-09-02,21,117.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
46,2022-09-02,22,73.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
47,2022-09-02,23,32.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
48,2022-09-02,24,5.0,2022,9,2,4,35,3,245,0,0,0,0,0,0,0,1,202209
49,2022-09-03,0,9.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
50,2022-09-03,1,5.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
51,2022-09-03,2,2.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
52,2022-09-03,3,2.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
53,2022-09-03,4,5.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
54,2022-09-03,5,4.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
55,2022-09-03,6,20.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
56,2022-09-03,7,66.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
57,2022-09-03,8,150.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
58,2022-09-03,9,287.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
59,2022-09-03,10,256.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
60,2022-09-03,11,196.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
61,2022-09-03,12,229.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
62,2022-09-03,13,227.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
63,2022-09-03,14,217.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
64,2022-09-03,15,243.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
65,2022-09-03,16,201.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
66,2022-09-03,17,207.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
67,2022-09-03,18,191.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
68,2022-09-03,19,191.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
69,2022-09-03,20,169.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
70,2022-09-03,21,74.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
71,2022-09-03,22,40.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
72,2022-09-03,23,32.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
73,2022-09-03,24,2.0,2022,9,3,5,35,3,246,0,0,0,0,0,0,1,0,202209
74,2022-09-04,0,10.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
75,2022-09-04,1,5.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
76,2022-09-04,2,2.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
77,2022-09-04,3,1.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
78,2022-09-04,4,2.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
79,2022-09-04,5,2.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
80,2022-09-04,6,6.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
81,2022-09-04,7,58.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
82,2022-09-04,8,143.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
83,2022-09-04,9,275.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
84,2022-09-04,10,306.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
85,2022-09-04,11,219.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
86,2022-09-04,12,284.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
87,2022-09-04,13,155.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
88,2022-09-04,14,221.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
89,2022-09-04,15,224.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
90,2022-09-04,16,239.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
91,2022-09-04,17,243.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
92,2022-09-04,18,255.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
93,2022-09-04,19,183.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
94,2022-09-04,20,210.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
95,2022-09-04,21,117.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
96,2022-09-04,22,59.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
97,2022-09-04,23,31.0,2022,9,4,6,35,3,247,0,0,0,0,0,0,1,0,202209
98,2022-09-05,0,10.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
99,2022-09-05,1,2.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
100,2022-09-05,2,2.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
101,2022-09-05,4,5.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
102,2022-09-05,5,14.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
103,2022-09-05,6,28.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
104,2022-09-05,7,58.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
105,2022-09-05,8,126.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
106,2022-09-05,9,290.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
107,2022-09-05,10,301.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
108,2022-09-05,11,223.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
109,2022-09-05,12,283.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
110,2022-09-05,13,247.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
111,2022-09-05,14,238.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
112,2022-09-05,15,220.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
113,2022-09-05,16,216.0,2022,9,5,0,36,3,248,0,0,0,0,0,0,0,0,202209
