date,time_interval,quantity
9/1/22,0,16
9/1/22,1,5
9/1/22,2,5
9/1/22,3,7
9/1/22,4,3
9/1/22,5,9
9/1/22,6,29
9/1/22,7,99
9/1/22,8,156
9/1/22,9,241
9/1/22,10,216
9/1/22,11,270
9/1/22,12,247
9/1/22,13,117
9/1/22,14,243
9/1/22,15,202
9/1/22,16,210
9/1/22,17,222
9/1/22,18,269
9/1/22,19,189
9/1/22,20,199
9/1/22,21,136
9/1/22,22,68
9/1/22,23,36
9/2/22,0,7
9/2/22,1,7
9/2/22,2,3
9/2/22,3,2
9/2/22,4,4
9/2/22,5,13
9/2/22,6,45
9/2/22,7,100
9/2/22,8,194
9/2/22,9,283
9/2/22,10,111
9/2/22,11,285
9/2/22,12,281
9/2/22,13,201
9/2/22,14,205
9/2/22,15,232
9/2/22,16,209
9/2/22,17,193
9/2/22,18,217
9/2/22,19,236
9/2/22,20,125
9/2/22,21,117
9/2/22,22,73
9/2/22,23,32
9/2/22,24,5
9/3/22,0,4
9/3/22,1,5
9/3/22,2,2
9/3/22,3,2
9/3/22,4,5
9/3/22,5,4
9/3/22,6,20
9/3/22,7,66
9/3/22,8,150
9/3/22,9,287
9/3/22,10,256
9/3/22,11,196
9/3/22,12,229
9/3/22,13,227
9/3/22,14,217
9/3/22,15,243
9/3/22,16,201
9/3/22,17,207
9/3/22,18,191
9/3/22,19,191
9/3/22,20,169
9/3/22,21,74
9/3/22,22,40
9/3/22,23,32
9/3/22,24,2
9/4/22,0,8
9/4/22,1,5
9/4/22,2,2
9/4/22,3,1
9/4/22,4,2
9/4/22,5,2
9/4/22,6,6
9/4/22,7,58
9/4/22,8,143
9/4/22,9,275
9/4/22,10,306
9/4/22,11,219
9/4/22,12,284
9/4/22,13,155
9/4/22,14,221
9/4/22,15,224
9/4/22,16,239
9/4/22,17,243
9/4/22,18,255
9/4/22,19,183
9/4/22,20,210
9/4/22,21,117
9/4/22,22,59
9/4/22,23,31
9/5/22,0,10
9/5/22,1,2
9/5/22,2,2
9/5/22,4,5
9/5/22,5,14
9/5/22,6,28
9/5/22,7,58
9/5/22,8,126
9/5/22,9,290
9/5/22,10,301
9/5/22,11,223
9/5/22,12,283
9/5/22,13,247
9/5/22,14,238
9/5/22,15,220
9/5/22,16,216
9/5/22,17,214
9/5/22,18,298
9/5/22,19,275
9/5/22,20,193
9/5/22,21,123
9/5/22,22,81
9/5/22,23,35
9/5/22,24,6
9/6/22,0,14
9/6/22,1,6
9/6/22,2,7
9/6/22,3,2
